Partlist

Exported from Main Schematic.sch at 5/1/15 15:12

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part                Value                                Device                     Package                     Library                        Sheet
U$3                 ESD7004                              ESD7004                    UDFN10                      on-semiconductor               1
U$4                 ESD7004                              ESD7004                    UDFN10                      on-semiconductor               1
U$5                 ESD7004                              ESD7004                    UDFN10                      on-semiconductor               1
U$6                 MCP1702T-1502E/CB                    MCP1702T-2502E/CB          SOT95P255X145-3N            Microchip_By_element14_Batch_1 1
U$7                 MCP1700T-1502E/TT                    MCP1700T-1802E/TT          SOT95P237X112-3N            Microchip_By_element14_Batch_1 1
U7                  XIO3130_ZHC_196                      XIO3130_ZHC_196            ZHC196                      texas                          1
UART_BUF_0          NLX2G16                              NLX2G16                    UDFN6                       on-semiconductor               1
UART_BUF_1          NLX2G16                              NLX2G16                    UDFN6                       on-semiconductor               1
UART_BUF_2          NLX2G16                              NLX2G16                    UDFN6                       on-semiconductor               1
USBCON_1            USB_1                                PN87520                    PN87520                     con-berg                       1
USBCON_OTG          USB_OTG                              PN87520                    PN87520                     con-berg                       1
USB_AUDIO_CODEC     PCM2904DB                            PCM2904DB                  SSOP28DB                    texas                          1
USB_CURR_LIM        MIC2026-1YM                          MIC2026                    SOIC8                       micrel                         1
USB_HUB             USB Hub                              CY7C65632                  TQFP48_7X7                  cypress                        1
VREG_1              +5V -> 3V2                           RT8070SOP-8                SOP08                       richtek                        1
X1                  5036-008-210-862                     5036-008-210-862           5036_008_210_862            con-kyocera-elco               1
X3                  5036-008-210-862                     5036-008-210-862           5036_008_210_862            con-kyocera-elco               1
